date,deal,amount,open,high,low,close,RD,volume,MA5,MA10,MA20,MA30,SMA5,SMA10,SMA20,SMA30,EMA5,EMA10,EMA20,EMA30,WMA5,WMA10,WMA20,WMA30,next_high,next_low,change_n_pct,signal,high_max,threshold,target,upper_band,middle_band,lower_band
2010-03-02,54451553,3269667531,60.5,60.5,59.5,59.9,0.3,13024,59.000000000000014,58.81999999999999,59.11499999999999,60.26333333333332,59.000000000000014,58.81999999999999,59.11499999999999,60.26333333333332,59.288332083138464,59.12544083623655,59.66487662411986,60.619085947133854,59.27999999999997,59.07272727272727,58.9309523809524,59.39032258064516,64.093,55.707,0.8347245409015025,0,60.4,62.296,0.008347245409015025,61.11026940536882,59.11499999999999,57.11973059463116
2010-03-03,34984387,2093549040,59.6,60.1,59.6,60.0,0.1,5904,59.30000000000001,59.08,59.10999999999999,60.143333333333324,59.30000000000001,59.08,59.10999999999999,60.143333333333324,59.52555472209231,59.28445159328445,59.69679313610845,60.57914491828651,59.61333333333331,59.28727272727273,59.01523809523812,59.37333333333333,64.2,55.800000000000004,2.000000000000005,0,61.2,62.400000000000006,0.02000000000000005,61.09584994397877,59.10999999999999,57.124150056021215
2010-03-04,54471642,3220104005,59.8,59.8,58.4,59.2,-0.8,13969,59.500000000000014,59.14,59.089999999999996,60.023333333333326,59.500000000000014,59.14,59.089999999999996,60.023333333333326,59.417036481394874,59.26909675814183,59.64947950409812,60.49016782678415,59.57999999999997,59.30909090909091,59.02380952380954,59.31247311827957,63.34400000000001,55.056000000000004,3.5472972972972876,0,61.3,61.568000000000005,0.035472972972972874,61.0637274381226,59.089999999999996,57.116272561877395
2010-03-05,60054500,3606334057,59.8,60.4,59.6,60.4,1.2,12880,59.82000000000001,59.339999999999996,59.11,59.92999999999999,59.82000000000001,59.339999999999996,59.11,59.92999999999999,59.744690987596584,59.47471552938877,59.72095764656496,60.48435054763679,59.879999999999974,59.53818181818182,59.14857142857145,59.336774193548386,64.628,56.172000000000004,1.6556291390728477,0,61.4,62.816,0.016556291390728478,61.127820606495405,59.11,57.092179393504594
2010-03-08,44396339,2704346592,60.9,61.2,60.6,61.2,0.8,11378,60.14000000000001,59.56,59.095000000000006,59.85333333333333,60.14000000000001,59.56,59.095000000000006,59.85333333333333,60.22979399173106,59.78840361495445,59.86181882308259,60.53052148004732,60.33999999999998,59.876363636363635,59.34761904761906,59.41870967741935,65.48400000000001,56.916000000000004,0.32679738562090804,0,61.4,63.648,0.0032679738562090806,61.04484614777503,59.095000000000006,57.14515385222498
2010-03-09,31475924,1924797115,61.2,61.4,60.8,61.3,0.1,6949,60.42,59.71,59.17,59.79999999999999,60.42,59.71,59.17,59.79999999999999,60.586529327820706,60.063239321326364,59.99878845897948,60.58016525552814,60.72666666666665,60.19272727272727,59.55761904761906,59.512043010752684,65.591,57.009,-0.8156606851549756,0,61.4,63.752,0.0016313213703099743,61.326942280172844,59.17,57.01305771982716
2010-03-10,30588530,1870897516,61.3,61.4,60.8,61.4,0.1,6050,60.7,60.0,59.290000000000006,59.76333333333333,60.7,60.0,59.290000000000006,59.76333333333333,60.85768621854714,60.30628671744884,60.132237177171916,60.633057819687615,61.05333333333331,60.5,59.77000000000002,59.615268817204296,65.69800000000001,57.102000000000004,-2.605863192182413,0,61.4,63.856,0.0,61.65296424010105,59.290000000000006,56.92703575989896
2010-03-11,30381134,1864708630,61.6,61.8,61.2,61.4,0.0,6607,61.14,60.31999999999999,59.37000000000002,59.71,61.14,60.31999999999999,59.37000000000002,59.71,61.03845747903142,60.50514367791269,60.252976493631735,60.68253796035293,61.28666666666665,60.75454545454546,59.970952380952404,59.720860215053754,65.69800000000001,57.102000000000004,-2.7687296416938043,0,61.4,63.856,0.0,61.89911051557544,59.37000000000002,56.8408894844246
2010-03-12,69392867,4236637111,61.4,61.5,60.6,60.8,-0.6,9260,61.21999999999999,60.519999999999996,59.45500000000002,59.65,61.21999999999999,60.519999999999996,59.45500000000002,59.65,60.958971652687616,60.558753918292204,60.305073970428715,60.69011615645919,61.17333333333332,60.841818181818184,60.10714285714288,59.79118279569892,65.056,56.544,-0.4934210526315743,0,60.8,63.232,0.0,62.055365358943305,59.45500000000002,56.854634641056734
2010-03-15,41567794,2503666271,61.3,61.3,59.8,59.8,-1.0,8294,60.94,60.539999999999985,59.585000000000015,59.60666666666667,60.94,60.539999999999985,59.585000000000015,59.60666666666667,60.57264776845841,60.42079866042089,60.25697168753074,60.63268930765537,60.69999999999998,60.7109090909091,60.14000000000002,59.80086021505376,63.986000000000004,55.614,1.0033444816053536,0,60.5,62.192,0.011705685618729145,61.97269763579789,59.585000000000015,57.19730236420214
